INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Alabama A & M University,0.8989,12807,NULL,18888,0.7115,0.2914,0.8204,16.3,33611.5,29039,31400
University of Alabama at Birmingham,0.8673,12846,NULL,19990,0.3505,0.5377,0.5397,8,23117,34909,40300
Amridge University,NULL,NULL,7455,12300,0.6839,0.6667,0.7629,8.9,26995,30037,38100
University of Alabama in Huntsville,0.8062,15239,NULL,20306,0.3281,0.4835,0.4728,7.7,24738,39766,46600
Alabama State University,0.5125,12074,NULL,17400,0.8265,0.2517,0.8735,19.1,33452,24029.5,27800
The University of Alabama,0.5655,18113,NULL,26717,0.2107,0.6665,0.4148,8.1,24000,58976,42400
Central Alabama Community College,NULL,6312,NULL,12103,0.6515,NULL,0.4777,26.3,NULL,20289,27100
Athens State University,NULL,NULL,NULL,NULL,0.4107,NULL,0.6277,9.4,18832,30811,39700
Auburn University at Montgomery,0.8371,9521,NULL,16556,0.4006,0.2705,0.6476,13.1,21791,27378,34800
Auburn University,0.8274,14167,NULL,23788,0.1687,0.6792,0.361,6.1,22250,71775.5,45400
Birmingham Southern College,0.6422,NULL,15954,44512,0.2136,0.6192,0.4939,9.9,27000,89942.5,41900
Chattahoochee Valley Community College,NULL,1366,NULL,6800,0.6116,NULL,0.1948,14.9,7000,20071,27700
Concordia College Alabama,NULL,NULL,11822,17655,0.8363,0.2115,0.91,27.9,26500,16951,21300
South University-Montgomery,0.4366,NULL,22773,28525,0.7131,0.0784,0.7543,23.1,27167,28607,29800
Enterprise State Community College,NULL,4536,NULL,10193,0.5121,NULL,0.2673,25,11073,21759,26300
James H Faulkner State Community College,NULL,6574,NULL,11921,0.4885,NULL,0.4042,16.2,9153,25953.5,28900
Faulkner University,NULL,NULL,18018,28485,0.5816,0.2287,0.7427,12,23750,29406.5,37600
Gadsden State Community College,NULL,4534,NULL,10247,0.6,NULL,0,28.5,NULL,16516,26900
New Beginning College of Cosmetology,NULL,NULL,8954,NULL,0.4898,NULL,0.4422,0,9490,NULL,NULL
George C Wallace State Community College-Dothan,NULL,2551,NULL,8140,0.5548,NULL,0,0,NULL,15490,27100
George C Wallace State Community College-Hanceville,NULL,6295,NULL,10822,0.5017,NULL,0.4174,21.3,11330,25212,27800
George C Wallace State Community College-Selma,NULL,8648,NULL,14835,0.7687,NULL,0,0,NULL,11212.5,24400
Herzing University-Birmingham,0.7234,NULL,22351,26656,0.6373,0.1778,0.7153,16.9,22822,18859,42300
Huntingdon College,0.6279,NULL,16518,31433,0.4302,0.4319,0.7227,10.5,27000,54275.5,37100
Heritage Christian University,NULL,NULL,9346,21160,0.4839,0,0.4839,13.3,NULL,21792,32700
J F Drake State Community and Technical College,NULL,7173,NULL,12217,0.5873,NULL,0,0,NULL,13420.5,23500
Jacksonville State University,0.8326,14523,NULL,19202,0.4613,0.3083,0.6811,11.3,23500,35158,35100
