INSTNM,ADM_RATE,NPT4_048_ALL,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Alabama A & M University,0.8989,12.807,18.888,0.7115,0.2914,0.8204,16.3,33.6115,29.039,31.4
University of Alabama at Birmingham,0.8673,12.846,19.99,0.3505,0.5377,0.5397,8,23.117,34.909,40.3
Amridge University,NULL,7.455,12.3,0.6839,0.6667,0.7629,8.9,26.995,30.037,38.1
University of Alabama in Huntsville,0.8062,15.239,20.306,0.3281,0.4835,0.4728,7.7,24.738,39.766,46.6
Alabama State University,0.5125,12.074,17.4,0.8265,0.2517,0.8735,19.1,33.452,24.0295,27.8
The University of Alabama,0.5655,18.113,26.717,0.2107,0.6665,0.4148,8.1,24,58.976,42.4
Athens State University,NULL,NULL,NULL,0.4107,NULL,0.6277,9.4,18.832,30.811,39.7
Auburn University at Montgomery,0.8371,9.521,16.556,0.4006,0.2705,0.6476,13.1,21.791,27.378,34.8
Auburn University,0.8274,14.167,23.788,0.1687,0.6792,0.361,6.1,22.25,71.7755,45.4
Birmingham Southern College,0.6422,15.954,44.512,0.2136,0.6192,0.4939,9.9,27,89.9425,41.9
Concordia College Alabama,NULL,11.822,17.655,0.8363,0.2115,0.91,27.9,26.5,16.951,21.3
Faulkner University,NULL,18.018,28.485,0.5816,0.2287,0.7427,12,23.75,29.4065,37.6
Huntingdon College,0.6279,16.518,31.433,0.4302,0.4319,0.7227,10.5,27,54.2755,37.1
Heritage Christian University,NULL,9.346,21.16,0.4839,0,0.4839,13.3,NULL,21.792,32.7
Jacksonville State University,0.8326,14.523,19.202,0.4613,0.3083,0.6811,11.3,23.5,35.158,35.1
Judson College,0.7388,15.779,27.815,0.4788,0.4051,0.711,11.7,26,43.02,30.7
University of West Alabama,0.9957,12.204,17.959,0.5604,0.3161,0.7193,9.6,22.5,23.735,33.8
Miles College,NULL,14.676,21.336,0.8227,0.216,0.9184,22.1,36.569,19.948,27.2
University of Mobile,0.7125,16.169,30.108,0.5032,0.4904,0.8009,3.5,27,37.643,37.8
University of Montevallo,0.8729,13.253,20.209,0.4136,0.4493,0.5872,9.8,23.4,48.019,35.1
University of North Alabama,0.8092,11.413,15.058,0.4192,0.3216,0.6883,13.4,21.75,40.03,36.3
Oakwood University,0.3435,25.847,34.705,0.5066,0.3632,0.7411,10.7,30.5,42.0945,33.7
Samford University,0.7697,17.224,38.835,0.1494,0.692,0.3653,1.3,23.236,77.481,45.8
Selma University,NULL,8.427,11.187,0.75,0.2133,0.7679,15.5,NULL,NULL,NULL
University of South Alabama,0.8604,10.46,17.125,0.3743,0.3342,0.5549,7.1,25,30.958,38.3
Spring Hill College,0.4627,15.365,43.325,0.3328,0.5632,0.6564,8.1,27,58.994,43.8
Southeastern Bible College,0.9615,11.513,19.127,0.6089,0.1935,0.7877,10.8,30.083,44.006,28.8
Stillman College,0.43,17.736,24.744,0.7429,0.2619,0.8145,22,38.359,25.809,24.7
Talladega College,NULL,9.068,18.758,0.9663,0.824,0.928,28.8,32,19.712,25.6
Troy University,0.6821,11.16,16.877,0.4758,0.3466,0.6414,13.2,26,27.401,36.6
Tuskegee University,0.3511,27.654,32.853,0.6453,0.4384,0.7374,13,33.25,39.069,37.1
United States Sports Academy,NULL,NULL,NULL,0.4701,NULL,0.6068,4.2,30.0955,31.218,NULL
University of Alaska Anchorage,NULL,6.463,13.18,0.2473,0.2547,0.286,12.4,20.675,36.717,42
University of Alaska Fairbanks,NULL,7.662,15.035,0.2349,0.309,0.2676,11.6,20,35.1385,38.2
University of Alaska Southeast,NULL,8.293,16.409,0.1834,0.1389,0.209,11.8,19.4375,33.8025,39.5
Alaska Pacific University,0.3745,28.953,42.925,0.2791,0.3902,0.4587,7.9,25.125,48.0815,47.4
Collins College,NULL,NULL,NULL,0.7475,0.3773,0.9203,25.6,42.103,31.163,25.2
