INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Alabama A & M University,3,0.8989,12807,NULL,18888,0.7115,0.2914,0.8204,16.3,33611.5,29039,31400
University of Alabama at Birmingham,3,0.8673,12846,NULL,19990,0.3505,0.5377,0.5397,8,23117,34909,40300
Amridge University,3,NULL,NULL,7455,12300,0.6839,0.6667,0.7629,8.9,26995,30037,38100
University of Alabama in Huntsville,3,0.8062,15239,NULL,20306,0.3281,0.4835,0.4728,7.7,24738,39766,46600
Alabama State University,3,0.5125,12074,NULL,17400,0.8265,0.2517,0.8735,19.1,33452,24029.5,27800
The University of Alabama,3,0.5655,18113,NULL,26717,0.2107,0.6665,0.4148,8.1,24000,58976,42400
Athens State University,3,NULL,NULL,NULL,NULL,0.4107,NULL,0.6277,9.4,18832,30811,39700
Auburn University at Montgomery,3,0.8371,9521,NULL,16556,0.4006,0.2705,0.6476,13.1,21791,27378,34800
Auburn University,3,0.8274,14167,NULL,23788,0.1687,0.6792,0.361,6.1,22250,71775.5,45400
Birmingham Southern College,3,0.6422,NULL,15954,44512,0.2136,0.6192,0.4939,9.9,27000,89942.5,41900
Concordia College Alabama,3,NULL,NULL,11822,17655,0.8363,0.2115,0.91,27.9,26500,16951,21300
Faulkner University,3,NULL,NULL,18018,28485,0.5816,0.2287,0.7427,12,23750,29406.5,37600
Huntingdon College,3,0.6279,NULL,16518,31433,0.4302,0.4319,0.7227,10.5,27000,54275.5,37100
Heritage Christian University,3,NULL,NULL,9346,21160,0.4839,0,0.4839,13.3,NULL,21792,32700
Jacksonville State University,3,0.8326,14523,NULL,19202,0.4613,0.3083,0.6811,11.3,23500,35158,35100
Judson College,3,0.7388,NULL,15779,27815,0.4788,0.4051,0.711,11.7,26000,43020,30700
University of West Alabama,3,0.9957,12204,NULL,17959,0.5604,0.3161,0.7193,9.6,22500,23735,33800
Miles College,3,NULL,NULL,14676,21336,0.8227,0.216,0.9184,22.1,36569,19948,27200
University of Mobile,3,0.7125,NULL,16169,30108,0.5032,0.4904,0.8009,3.5,27000,37643,37800
University of Montevallo,3,0.8729,13253,NULL,20209,0.4136,0.4493,0.5872,9.8,23400,48019,35100
University of North Alabama,3,0.8092,11413,NULL,15058,0.4192,0.3216,0.6883,13.4,21750,40030,36300
Oakwood University,3,0.3435,NULL,25847,34705,0.5066,0.3632,0.7411,10.7,30500,42094.5,33700
Samford University,3,0.7697,NULL,17224,38835,0.1494,0.692,0.3653,1.3,23236,77481,45800
Selma University,3,NULL,NULL,8427,11187,0.75,0.2133,0.7679,15.5,NULL,NULL,NULL
University of South Alabama,3,0.8604,10460,NULL,17125,0.3743,0.3342,0.5549,7.1,25000,30958,38300
Spring Hill College,3,0.4627,NULL,15365,43325,0.3328,0.5632,0.6564,8.1,27000,58994,43800
Southeastern Bible College,3,0.9615,NULL,11513,19127,0.6089,0.1935,0.7877,10.8,30083,44006,28800
Stillman College,3,0.43,NULL,17736,24744,0.7429,0.2619,0.8145,22,38359,25809,24700
Talladega College,3,NULL,NULL,9068,18758,0.9663,0.824,0.928,28.8,32000,19712,25600
Troy University,3,0.6821,11160,NULL,16877,0.4758,0.3466,0.6414,13.2,26000,27401,36600
Tuskegee University,3,0.3511,NULL,27654,32853,0.6453,0.4384,0.7374,13,33250,39069,37100
United States Sports Academy,3,NULL,NULL,NULL,NULL,0.4701,NULL,0.6068,4.2,30095.5,31218,NULL
University of Alaska Anchorage,3,NULL,6463,NULL,13180,0.2473,0.2547,0.286,12.4,20675,36717,42000
University of Alaska Fairbanks,3,NULL,7662,NULL,15035,0.2349,0.309,0.2676,11.6,20000,35138.5,38200
University of Alaska Southeast,3,NULL,8293,NULL,16409,0.1834,0.1389,0.209,11.8,19437.5,33802.5,39500
Alaska Pacific University,3,0.3745,NULL,28953,42925,0.2791,0.3902,0.4587,7.9,25125,48081.5,47400
Collins College,3,NULL,NULL,NULL,NULL,0.7475,0.3773,0.9203,25.6,42103,31163,25200
American Indian College of the Assemblies of God Inc,3,NULL,NULL,12580,20601,0.7945,0.5,0.6986,31.7,NULL,11429,NULL
Arizona State University-Tempe,3,0.8023,8553,NULL,21960,0.3376,0.5947,0.4784,8.5,20375,43477,45200
University of Arizona,3,0.7692,10833,NULL,23905,0.3265,0.6139,0.3962,7,19000,46758,44400
Southwest University of Visual Arts-Tucson,3,NULL,NULL,46327,49519,0.5308,0.8333,0.6777,19.7,50437,27715,27500
Embry-Riddle Aeronautical University-Prescott,3,0.7898,NULL,35611,45228,0.2884,0.5915,0.5596,4.6,26000,52839,60900
Frank Lloyd Wright School of Architecture,3,NULL,NULL,NULL,NULL,0.3333,NULL,0.3333,0,NULL,NULL,NULL
Grand Canyon University,3,0.548,NULL,26303,31613,0.5262,0.3036,0.6248,15.8,18750,48504,45200
Northern Arizona University,3,0.9137,12328,NULL,22771,0.3778,0.4924,0.5571,10.2,21450,43127,38800
Ottawa University-Phoenix,3,NULL,NULL,NULL,NULL,0.5982,NULL,0.7946,8.7,25000,45681,40700
University of Phoenix-Phoenix Campus,3,NULL,NULL,18785,24167,0.5242,0.1568,0.6171,19,35500,35946.5,53400
Prescott College,3,0.7293,NULL,19303,40206,0.4547,0.3768,0.6478,6.3,25000,29669,35200
Arizona Christian University,3,0.6076,NULL,22353,34444,0.328,0.4737,0.5183,5.6,22625,43195,31000
Western International University,3,NULL,NULL,20329,26118,0.3861,0.1883,0.3922,12,33718.5,29442,52600
University of Arkansas at Little Rock,3,0.5274,9213,NULL,19894,0.4027,0.2438,0.4818,10.5,23000,26332.5,34800
University of Arkansas for Medical Sciences,3,NULL,NULL,NULL,NULL,0.363,NULL,0.6322,3.3,12820,34993,62400
Arkansas Baptist College,3,NULL,NULL,16845,20024,0.7107,0.1588,0.817,31.1,38125,13335,21100
Lyon College,3,0.5898,NULL,8736,33355,0.4617,0.4965,0.6867,9.8,25000,49042.5,37200
University of Arkansas,3,0.5858,9106,NULL,19917,0.2427,0.601,0.4084,6.7,21524,52612,43600
University of Arkansas at Pine Bluff,3,0.277,7276,NULL,15414,0.6986,0.2583,0.7276,29.9,27954.5,23857,27400
Arkansas State University-Main Campus,3,0.7551,8064,NULL,18809,0.4618,0.3698,0.5289,14.6,20959,27550,32700
Arkansas Tech University,3,0.8503,8423,NULL,16126,0.4559,0.4025,0.4734,17.4,17528,31932,35000
